,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.9844955633218645,0.00020233085743264707,3.998155720553841e-08,7.762086686830275e-12,1.4893984947731676e-15,2.8327901412094894e-19,5.349786309679993e-23,1.0043237447290279e-26,1.8757751851214607e-30,3.488220691523917e-34,0.0,0.2746414429365089,5.648006553663525e-05,1.1164404300328855e-08,2.1679540714534884e-12,4.160587578047965e-16,7.914366841336641e-20,1.4948127293503042e-23,2.8065056291056788e-27,5.243128592837384e-31,0.0,0.015037122323583615,3.014246613039246e-06,5.898092504574397e-10,1.137941911999949e-13,2.1734716947994892e-17,4.1187834769662224e-21,7.754781378123251e-25,1.4520227038914905e-28,2.706245515439033e-32
2,2.0,0.9696365448253147,0.0007765882044457944,6.100780399364551e-07,4.751877308897998e-10,3.680484729080978e-13,2.8386985377785275e-16,2.1820860585043046e-19,1.672645812310951e-22,1.2790495262899583e-25,9.767456832564398e-29,0.0,0.26020504490141794,0.00020853467850684437,1.6387566217370673e-07,1.2767002210906946e-10,9.890082103311542e-14,7.629063271187972e-17,5.865046827810844e-20,4.4961889027545086e-23,3.44108488520492e-26,0.0,0.02855434721914695,2.259177384952632e-05,1.766469079343092e-08,1.371843113649436e-11,1.0602455107537716e-14,8.163562726771714e-18,6.2664142626008625e-21,4.797639601097083e-24,3.667625753604461e-27
3,3.0,0.9553872981959187,0.001668667560365619,2.8775713605870142e-06,4.934619517925022e-09,8.431249830631798e-12,1.4366273910485468e-14,2.442578354570773e-17,4.145364688770628e-20,7.024235353390962e-23,1.1906277630748237e-25,0.0,0.2466270691152771,0.00043103432937623555,7.435485174053375e-07,1.275355241700742e-09,2.179416776269073e-12,3.714062674117245e-15,6.315401383271556e-18,1.0719039238838115e-20,1.8195474193079147e-23,0.0,0.040692810715014,7.050686104508536e-05,1.2121951132733056e-07,2.074812297563918e-10,3.5401230120898085e-13,6.025579047671291e-16,1.0235606837655915e-18,1.7357847003798186e-21,2.9442715297444732e-24
4,4.0,0.9417146614147948,0.0028314005765876188,8.432738535461895e-06,2.501171162794559e-08,7.398578592332607e-11,2.184144914543664e-13,6.437523516901997e-16,1.894858351458653e-18,5.571060935556435e-21,1.6411204812343012e-23,0.0,0.23384886258796023,0.000703554918587983,2.0960724815476857e-06,6.21835033325736e-09,1.839715776111862e-11,5.431758970546053e-14,1.6011244479028084e-16,4.713283145275846e-19,1.3899453932156769e-21,0.0,0.051579657473542095,0.00015416782257488852,4.581463333305642e-07,1.3570150494754999e-09,4.010121890125494e-12,1.182908336628991e-14,3.4842431232157596e-17,1.0250098651346764e-19,3.0210547568917776e-22
5,5.0,0.9285877488082941,0.004223644995972155,1.906716484488294e-05,8.57968926061429e-08,3.852446791817612e-10,1.727097350401405e-12,7.733049317783238e-15,3.458837526839596e-17,1.5456816871580085e-19,6.932842913889796e-22,0.0,0.22181639183593654,0.0010095756127288702,4.559092670851493e-06,2.051907895355476e-08,9.214961448916959e-11,4.131713491806097e-13,1.850168537561576e-15,8.276202487411913e-18,3.7153535212252306e-20,0.0,0.06132956374336038,0.00027765926605909596,1.2513180600121529e-06,5.624629234508641e-09,2.5236326307536705e-11,1.1306939694665399e-13,5.060156598499126e-16,2.2623535567804908e-18,1.0151593951820612e-20
6,6.0,0.915977763296229,0.005809500953552916,3.661773616633e-05,2.3018792582453765e-07,1.4445035868466382e-09,9.053019736627458e-12,5.667885336248254e-14,3.5454929054746916e-16,2.216223617289603e-18,1.3931302938417952e-20,0.0,0.21047982653423727,0.001335811349275624,8.422452477885758e-06,5.295702159282165e-08,3.3237637041141457e-10,2.083346123478417e-12,1.304475988629504e-14,8.160786785274101e-17,5.133646928616534e-19,0.0,0.07004607811154381,0.00044256572267265286,2.785666125847762e-06,1.7496467946453456e-08,1.0972844875934802e-10,6.873607537732258e-13,4.301700519628816e-15,2.6899828969296978e-17,1.6915315986313568e-19
7,7.0,0.9038578266152814,0.007557634910484606,6.285976759368102e-05,5.216474354645163e-07,4.322589394032164e-09,3.577976688723835e-11,2.9590617574641005e-13,2.4454405596143737e-15,2.0197232132487604e-17,1.6810864303647488e-19,0.0,0.199793165581984,0.0016716569858711895,1.3908322422532701e-05,1.1544441803526561e-07,9.567760675249891e-10,7.920639148883695e-12,6.551244084582405e-14,5.414610217900279e-16,4.509592981292202e-18,0.0,0.07782280387670026,0.0006486208348594041,5.388616436823301e-06,4.4686412163669714e-08,3.7010229529067006e-10,3.062265064400003e-12,2.531731340898359e-14,2.0917051798136106e-16,1.7415255016371027e-18
8,8.0,0.8922028255667815,0.009440695468335477,9.943666233607444e-05,1.0452985686613253e-06,1.0974495775563796e-08,1.1511210428819327e-10,1.2065152808468715e-12,1.2637899932839323e-14,1.3230801152152936e-16,1.3991431870516614e-18,0.0,0.1897139007613621,0.0020087241511968132,2.1164281451374687e-05,2.225313439014551e-07,2.3367154685522197e-09,2.4513121583014286e-11,2.569552240005068e-13,2.6917817396591796e-15,2.84809974505557e-17,0.0,0.08474444348432517,0.00089421734965406,9.409370080912492e-06,9.885435257478936e-08,1.037418985869869e-09,1.0877912526791764e-11,1.1398256596671736e-13,1.1936573123606117e-15,1.2626152830832053e-17
9,9.0,0.8809892725739723,0.01143480776929393,0.00014781650808184208,1.9075328150064875e-06,2.458892386799424e-08,3.1670141944682e-10,4.076397163926005e-12,5.244052566164887e-14,6.743039814278467e-16,8.77979124485476e-18,0.0,0.18020271377385194,0.0023404551696876814,3.0264607197824156e-05,3.9064110192224347e-07,5.036349220767189e-09,6.487579112382103e-11,8.351339167579027e-13,1.0744518285659513e-14,1.3996825619571794e-16,0.0,0.09088772260295569,0.0011768060702451843,1.5199605445490095e-05,1.9604674200377859e-07,2.526202997874286e-09,3.2527819531069325e-11,4.1858151406468663e-13,5.38374803109641e-15,7.011587076456449e-17
